scan,cluster
SPRING4325,C2
SPRING4326,C1
SPRING4327,C2
SPRING4335,C2
SPRING4339,C1
SPRING4340,C1
SPRING4341,C3
SPRING4343,C3
SPRING4348,C2
SPRING4351,C2
SPRING4354,C2
SPRING4359,C2
SPRING4360,C3
SPRING4364,C2
SPRING4365,C2
SPRING4370,C3
SPRING4371,C2
SPRING4374,C2
SPRING4376,C1
SPRING4377,C1
SPRING4382,C7
SPRING4386,C3
SPRING4388,C1
SPRING4391,C3
SPRING4392,C1
SPRING4393,C1
SPRING4394,C1
SPRING4395,C1
SPRING4397,C6
SPRING4399,C2
SPRING4404,C6
SPRING4406,C4
SPRING4410,C7
SPRING4414,C1
SPRING4418,C3
SPRING4419,C4
SPRING4421,C3
SPRING4422,C4
SPRING4424,C1
SPRING4426,C1
SPRING4428,C5
SPRING4435,C6
SPRING4436,C3
SPRING4439,C2
SPRING4440,C6
SPRING4441,C5
SPRING4442,C2
SPRING4443,C5
SPRING4444,C3
SPRING4445,C3
SPRING4450,C6
SPRING4451,C6
SPRING4452,C3
SPRING4453,C1
SPRING4455,C5
SPRING4456,C2
SPRING4457,C7
SPRING4458,C3
SPRING4460,C3
SPRING4462,C3
SPRING4464,C6
SPRING4467,C3
SPRING4468,C4
SPRING4470,C1
SPRING4471,C5
SPRING4472,C4
SPRING4476,C7
SPRING4479,C2
SPRING4480,C1
SPRING4482,C2
SPRING4483,C1
SPRING4486,C2
SPRING4488,C3
SPRING4489,C3
SPRING4490,C1
SPRING4491,C7
SPRING4492,C3
SPRING4493,C1
SPRING4494,C2
SPRING4495,C1
SPRING4496,C3
SPRING4498,C3
SPRING4500,C2
SPRING4502,C3
SPRING4506,C6
SPRING4507,C6
SPRING4508,C3
SPRING4509,C3
SPRING4510,C2
SPRING4512,C2
SPRING4518,C3
SPRING4522,C4
SPRING4523,C2
SPRING4524,C5
SPRING4526,C4
SPRING4528,C3
SPRING4531,C1
SPRING4532,C1
SPRING4533,C1
SPRING4534,C6
SPRING4535,C1
SPRING4536,C3
SPRING4537,C3
SPRING4539,C2
SPRING4540,C3
SPRING4541,C2
SPRING4543,C3
SPRING4544,C3
SPRING4548,C1
SPRING4550,C1
